X1,X2,U
2.5,0,0
2.5,-0.05,0
2.4995,-0.0998,0
2.498502,-0.1493908,0
2.50E+00,-0.198763277,0
2.50E+00,-0.247908386,0
2.49E+00,-0.296817161,0
2.49E+00,-0.34548072,0
2.49E+00,-0.393890261,0
2.482179494,-0.442037068,0
2.477759123,-0.48991251,0
2.472859998,-0.537508042,0
2.467484918,-0.58481521,0
2.461636766,-0.631825647,0
2.455318509,-0.67853108,0
2.448533198,-0.724923326,0
2.441283965,-0.770994297,0
2.433574022,-0.816735999,0
2.425406662,-0.862140535,0
2.416785257,-0.907200106,0
2.407713256,-0.951907011,0
2.398194186,-0.996253648,0
2.388231649,-1.040232517,0
2.377829324,-1.08383622,0
2.366990962,-1.127057462,0
2.355720387,-1.169889051,0
2.344021497,-1.212323903,0
2.331898258,-1.254355037,0
2.319354707,-1.295975582,0
2.306394951,-1.337178774,0
2.293023164,-1.377957958,0
2.279243584,-1.418306589,0
2.265060518,-1.458218235,0
2.250478336,-1.497686572,0
2.23550147,-1.536705392,0
2.220134416,-1.5752686,0
2.20438173,-1.613370214,0
2.188248028,-1.651004368,0
2.171737984,-1.688165311,0
2.154856331,-1.724847409,0
2.137607857,-1.761045146,0
2.119997406,-1.796753123,0
2.102029875,-1.831966059,0
2.083710214,-1.866678792,0
2.065043426,-1.900886281,0
2.046034563,-1.934583604,0
2.026688727,-1.967765961,0
2.007011068,-2.000428672,0
1.987006781,-2.032567179,0
1.966681109,-2.064177045,0
1.946039339,-2.095253959,0
1.925086799,-2.12579373,0
1.903828862,-2.155792291,0
1.882270939,-2.1852457,0
1.860418482,-2.214150136,0
1.83827698,-2.242501905,0
1.815851961,-2.270297437,0
1.793148987,-2.297533286,0
1.770173654,-2.324206133,0
1.746931593,-2.350312781,0
1.723428465,-2.375850162,0
1.699669963,-2.400815331,0
1.67566181,-2.425205469,0
1.651409755,-2.449017883,0
1.626919577,-2.472250006,0
1.602197076,-2.494899398,0
1.577248083,-2.516963742,0
1.552078445,-2.538440849,0
1.526694037,-2.559328654,0
1.50110075,-2.57962522,0
1.475304498,-2.599328734,0
1.449311211,-2.618437509,0
1.423126835,-2.636949984,0
1.396757336,-2.65486472,0
1.370208688,-2.672180408,0
1.343486884,-2.68889586,0
1.316597926,-2.705010015,0
1.289547826,-2.720521933,0
1.262342606,-2.735430802,0
1.234988298,-2.749735931,0
1.207490939,-2.763436753,0
1.179856571,-2.776532825,0
1.152091243,-2.789023825,0
1.124201005,-2.800909554,0
1.096191909,-2.812189936,0
1.06807001,-2.822865015,0
1.03984136,-2.832934955,0
1.01151201,-2.842400042,0
0.98308801,-2.851260682,0
0.954575403,-2.8595174,0
0.925980229,-2.867170838,0
0.897308521,-2.874221759,0
0.868566303,-2.880671043,0
0.839759593,-2.886519685,0
0.810894396,-2.891768798,0
0.781976708,-2.896419611,0
0.753012512,-2.900473466,0
0.724007777,-2.903931823,0
0.694968459,-2.906796251,0
0.665900496,-2.909068435,0
0.636809812,-2.910750171,0
0.60770231,-2.911843367,0
0.578583877,-2.912350039,0
0.549460376,-2.912272317,0
0.520337653,-2.911612435,0
0.491221529,-2.910372738,0
0.462117801,-2.908555678,0
0.433032244,-2.906163811,0
0.403970606,-2.903199801,0
0.374938608,-2.899666414,0
0.345941944,-2.89556652,0
0.316986279,-2.890903093,0
0.288077248,-2.885679206,0
0.259220456,-2.879898035,0
0.230421476,-2.873562852,0
0.201685847,-2.86667703,0
