X1,X2,U
0,0,0
0,0,0.099998333
0,0.000199997,0.199986667
2.00E-06,0.00059917,0.299955002
7.99E-06,0.001196643,0.399893342
2.00E-05,0.001991484,0.499791693
3.99E-05,0.002982702,0.599640065
6.97E-05,0.004169254,0.699428473
0.000111392,0.00555004,0.79914694
0.000166893,0.007123906,0.898785492
0.000238132,0.008889643,0.998334166
0.000327028,0.01084599,1.097783008
0.000435488,0.012991632,1.197122073
0.000565405,0.0153252,1.296341426
0.000718657,0.017845274,1.395431146
0.000897109,0.020550382,1.494381325
0.001102613,0.023439001,1.593182066
0.001337003,0.026509556,1.691823491
0.001602099,0.029760425,1.790295734
0.001899703,0.033189933,1.88858895
0.002231602,0.036796357,1.986693308
0.002599566,0.040577926,2.084598998
0.003005345,0.044532821,2.182296231
0.003450673,0.048659175,2.279775235
0.003937265,0.052955076,2.377026264
0.004466816,0.057418563,2.474039593
0.005041001,0.062047631,2.570805519
0.005661478,0.066840232,2.667314367
0.00632988,0.07179427,2.763556486
0.007047823,0.076907608,2.859522251
0.007816899,0.082178066,2.955202067
0.00863868,0.08760342,3.050586364
0.009514714,0.093181405,3.145665606
0.010446528,0.098909717,3.240430284
0.011435625,0.104786008,3.334870921
0.012483485,0.110807893,3.428978075
0.013591564,0.116972948,3.522742333
0.014761293,0.123278709,3.61615432
0.015994081,0.129722677,3.709204694
0.017291307,0.136302314,3.801884151
0.01865433,0.143015047,3.894183423
0.020084481,0.149858267,3.98609328
0.021583064,0.156829331,4.077604531
0.023151357,0.163925562,4.168708024
0.024790613,0.171144248,4.259394651
0.026502055,0.178482648,4.349655341
0.028286881,0.185937987,4.43948107
0.030146261,0.19350746,4.528862854
0.032081336,0.201188231,4.617791755
0.034093218,0.208977435,4.706258882
0.036182993,0.216872178,4.794255386
0.038351714,0.22486954,4.881772469
0.04060041,0.232966573,4.968801378
0.042930076,0.241160301,5.055333412
0.045341679,0.249447725,5.141359917
0.047836156,0.257825821,5.226872289
0.050414414,0.266291539,5.311861979
0.053077329,0.274841808,5.396320487
0.055825747,0.283473535,5.480239368
0.058660483,0.292183605,5.563610229
0.061582319,0.300968881,5.646424734
0.064592008,0.309826209,5.728674601
0.06769027,0.318752413,5.810351605
0.070877794,0.327744301,5.891447579
0.074155237,0.336798663,5.971954414
0.077523224,0.345912273,6.051864057
0.080982346,0.355081887,6.13116852
0.084533165,0.36430425,6.20985987
0.088176208,0.373576089,6.28793024
0.091911969,0.382894121,6.365371822
0.09574091,0.392255049,6.442176872
0.09966346,0.401655565,6.51833771
0.103680016,0.411092349,6.59384672
0.107790939,0.420562072,6.66869635
0.11199656,0.430061398,6.742879116
0.116297174,0.439586979,6.8163876
0.120693044,0.449135463,6.889214451
0.125184399,0.458703489,6.961352386
0.129771433,0.468287692,7.032794192
0.13445431,0.477884701,7.103532724
0.139233157,0.487491142,7.173560909
0.144108069,0.497103636,7.242871744
0.149079105,0.506718803,7.311458297
0.154146293,0.516333262,7.379313711
0.159309626,0.525943631,7.4464312
0.164569062,0.535546526,7.512804051
0.169924527,0.545138567,7.578425629
0.175375913,0.554716374,7.64328937
0.180923077,0.564276569,7.707388789
0.186565842,0.573815778,7.770717475
0.192304,0.583330633,7.833269096
0.198137307,0.592817769,7.895037397
0.204065484,0.602273827,7.9560162
0.210088223,0.611695454,8.016199409
0.216205177,0.621079307,8.075581004
0.22241597,0.630422048,8.134155048
0.228720191,0.63972035,8.191915683
0.235117394,0.648970896,8.248857133
0.241607103,0.658170379,8.304973705
0.248188807,0.667315503,8.360259786
0.254861962,0.676402984,8.414709848
0.261625992,0.685429553,8.468318446
0.268480287,0.694391952,8.521080219
0.275424207,0.703286939,8.572989892
0.282457076,0.712111287,8.624042272
0.289578189,0.720861784,8.674232256
0.296786807,0.729535238,8.723554823
0.304082159,0.738128471,8.772005043
0.311463444,0.746638324,8.819578069
0.318929827,0.755061658,8.866269144
0.326480444,0.763395353,8.912073601
0.334114397,0.77163631,8.956986857
0.34183076,0.77978145,9.001004422
0.349628575,0.787827718,9.044121894
0.357506852,0.795772079,9.086334961
0.365464573,0.803611524,9.127639403
0.373500688,0.811343065,9.168031088
0.381614119,0.818963741,9.207505977
0.389803756,0.826470616,9.246060124
0.398068462,0.833860779,9.283689672
0.40640707,0.841131346,9.32039086
0.414818384,0.848279461,9.356160016
0.423301178,0.855302295,9.390993563
0.431854201,0.862197049,9.424888019
0.440476172,0.868960953,9.457839994
0.449165781,0.875591266,9.489846194
0.457921694,0.882085278,9.520903416
0.466742547,0.88844031,9.551008556
0.47562695,0.894653715,9.580158603
0.484573487,0.900722878,9.608350642
0.493580716,0.906645218,9.635581854
0.502647168,0.912418186,9.661849516
0.51177135,0.918039269,9.687151001
0.520951742,0.923505987,9.711483779
0.530186802,0.928815896,9.734845417
0.539474961,0.933966587,9.757233578
0.548814627,0.938955689,9.778646024
0.558204184,0.943780866,9.799080614
0.567641993,0.94843982,9.818535304
0.577126391,0.952930291,9.837008148
0.586655694,0.957250058,9.8544973
0.596228194,0.961396939,9.87100101
0.605842164,0.965368789,9.886517629
0.615495852,0.969163506,9.901045603
0.625187487,0.972779026,9.914583482
0.634915277,0.976213327,9.92712991
0.64467741,0.979464428,9.938683634
0.654472054,0.98253039,9.949243498
0.664297358,0.985409314,9.958808445
0.674151452,0.988099347,9.96737752
0.684032445,0.990598675,9.974949866
0.693938432,0.992905531,9.981524725
0.703867487,0.99501819,9.98710144
0.713817669,0.99693497,9.991679453
0.723787019,0.998654236,9.995258306
0.733773561,1.000174395,9.997837642
0.743775305,1.001493902,9.999417202
0.753790244,1.002611255,9.999996829
0.763816357,1.003524998,9.999576465
0.773851607,1.004233724,9.998156151
0.783893944,1.004736069,9.99573603
0.793941304,1.005030718,9.992316344
0.803991612,1.005116402,9.987897435
0.814042776,1.004991899,9.982479744
0.824092695,1.004656035,9.976063813
0.834139255,1.004107685,9.968650285
0.844180332,1.00334577,9.960239899
0.85421379,1.00236926,9.950833498
0.864237482,1.001177174,9.940432022
0.874249254,0.99976858,9.929036511
0.88424694,0.998142593,9.916648105
0.894228366,0.99629838,9.903268042
0.904191349,0.994235156,9.88889766
0.914133701,0.991952183,9.873538397
0.924053223,0.989448777,9.857191788
0.933947711,0.986724301,9.839859469
0.943814954,0.983778169,9.821543171
0.953652735,0.980609843,9.802244728
0.963458834,0.977218839,9.781966068
0.973231022,0.973604719,9.76070922
0.982967069,0.969767098,9.738476309
0.99266474,0.965705641,9.715269558
1.002321797,0.961420063,9.691091289
1.011935997,0.956910129,9.665943918
1.021505099,0.952175656,9.639829962
1.031026855,0.947216512,9.61275203
1.04049902,0.942032613,9.584712831
1.049919346,0.936623927,9.555715169
1.059285586,0.930990475,9.525761943
1.06859549,0.925132325,9.494856149
1.077846814,0.919049599,9.463000877
